id,kode_provinsi,nama_provinsi,bps_kode_kabupaten_kota,bps_nama_kabupaten_kota,bps_kode_kecamatan,bps_nama_kecamatan,bps_kode_desa_kelurahan,bps_nama_desa_kelurahan,kemendagri_kode_kecamatan,kemendagri_nama_kecamatan,kemendagri_kode_desa_kelurahan,kemendagri_nama_desa_kelurahan,jumlah_balita_stunting,satuan,tahun
1,32,JAWA BARAT,3202,"KABUPATEN
  SUKABUMI",3202010,CIEMAS,3202010001,CIBENDA,32.02.22,CIEMAS,32.02.22.2002,CIBENDA,6,ANAK,2023
2,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,3202010,CIEMAS,3202010002,CIWARU,32.02.22,CIEMAS,32.02.22.2003,CIWARU,22,ANAK,2023
3,32,JAWA BARAT,3202,"KABUPATEN
  SUKABUMI",3202010,CIEMAS,3202010003,TAMANJAYA,32.02.22,CIEMAS,32.02.22.2006,TAMANJAYA,7,ANAK,2023
4,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,3202010,CIEMAS,3202010004,MEKARJAYA,32.02.22,CIEMAS,32.02.22.2004,MEKARJAYA,3,ANAK,2023
5,32,JAWA BARAT,3202,"KABUPATEN
  SUKABUMI",3202010,CIEMAS,3202010005,CIEMAS,32.02.22,CIEMAS,32.02.22.2001,CIEMAS,7,ANAK,2023
6,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,3202010,CIEMAS,3202010006,GIRIMUKTI,32.02.22,CIEMAS,32.02.22.2005,GIRIMUKTI,9,ANAK,2023
7,32,JAWA BARAT,3202,"KABUPATEN
  SUKABUMI",3202010,CIEMAS,3202010007,MANDRAJAYA,32.02.22,CIEMAS,32.02.22.2007,MANDRAJAYA,6,ANAK,2023
8,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,3202010,CIEMAS,3202010008,MEKARSAKTI,32.02.22,CIEMAS,32.02.22.2009,MEKARSAKTI,5,ANAK,2023
9,32,JAWA BARAT,3202,"KABUPATEN
  SUKABUMI",3202010,CIEMAS,3202010009,SIDAMULYA,32.02.22,CIEMAS,32.02.22.2008,SIDAMULYA,2,ANAK,2023
10,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,3202020,CIRACAP,3202020001,GUNUNGBATU,32.02.26,CIRACAP,32.02.26.2003,GUNUNGBATU,2,ANAK,2023
11,32,JAWA BARAT,3202,"KABUPATEN
  SUKABUMI",3202020,CIRACAP,3202020002,CIKANGKUNG,32.02.26,CIRACAP,32.02.26.2002,CIKANGKUNG,4,ANAK,2023
12,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,3202020,CIRACAP,3202020003,PURWASEDAR,32.02.26,CIRACAP,32.02.26.2004,PURWASEDAR,10,ANAK,2023
13,32,JAWA BARAT,3202,"KABUPATEN
  SUKABUMI",3202020,CIRACAP,3202020004,CIRACAP,32.02.26,CIRACAP,32.02.26.2001,CIRACAP,5,ANAK,2023
14,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,3202020,CIRACAP,3202020005,PASIRPANJANG,32.02.26,CIRACAP,32.02.26.2005,PASIRPANJANG,10,ANAK,2023
15,32,JAWA BARAT,3202,"KABUPATEN
  SUKABUMI",3202020,CIRACAP,3202020006,MEKARSARI,32.02.26,CIRACAP,32.02.26.2006,MEKARSARI,1,ANAK,2023
16,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,3202020,CIRACAP,3202020007,PANGUMBAHAN,32.02.26,CIRACAP,32.02.26.2008,PANGUMBAHAN,2,ANAK,2023
17,32,JAWA BARAT,3202,"KABUPATEN
  SUKABUMI",3202020,CIRACAP,3202020008,UJUNG GENTENG,32.02.26,CIRACAP,32.02.26.2007,UJUNG GENTENG,-,ANAK,2023
